TimeToMaturity,StrikePrice,CallOptionPrice
0.021918,1550,74.677
0.021918,1560,64.823
0.021918,1570,55.156
0.021918,1580,45.785
0.021918,1590,36.881
0.021918,1600,28.662
0.021918,1610,21.357
0.021918,1620,15.167
0.021918,1630,10.205
0.021918,1640,6.4715
0.021918,1650,3.85
0.021918,1660,2.1402
0.021918,1670,1.1082
0.021918,1680,0.53308
0.021918,1690,0.23778
0.021918,1700,0.098202
0.021918,1710,0.037516
0.021918,1720,0.013249
0.021918,1730,0.0043242
0.021918,1740,0.0013042
0.021918,1750,0.00036359
0.09863,1550,74.684
0.09863,1560,65.1
0.09863,1570,56.043
0.09863,1580,47.633
0.09863,1590,39.998
0.09863,1600,33.218
0.09863,1610,27.314
0.09863,1620,22.262
0.09863,1630,18.005
0.09863,1640,14.464
0.09863,1650,11.552
0.09863,1660,9.1797
0.09863,1670,7.2633
0.09863,1680,5.7259
0.09863,1690,4.4998
0.09863,1700,3.527
0.09863,1710,2.7583
0.09863,1720,2.1532
0.09863,1730,1.6783
0.09863,1740,1.3066
0.09863,1750,1.0162
0.17534,1550,75.627
0.17534,1560,66.524
0.17534,1570,57.885
0.17534,1580,49.818
0.17534,1590,42.409
0.17534,1600,35.721
0.17534,1610,29.782
0.17534,1620,24.591
0.17534,1630,20.121
0.17534,1640,16.325
0.17534,1650,13.141
0.17534,1660,10.503
0.17534,1670,8.3385
0.17534,1680,6.5805
0.17534,1690,5.1648
0.17534,1700,4.0335
0.17534,1710,3.1359
0.17534,1720,2.4282
0.17534,1730,1.8734
0.17534,1740,1.4406
0.17534,1750,1.1046
0.34521,1550,77.962
0.34521,1560,69.847
0.34521,1570,62.276
0.34521,1580,55.278
0.34521,1590,48.867
0.34521,1600,43.039
0.34521,1610,37.78
0.34521,1620,33.064
0.34521,1630,28.859
0.34521,1640,25.129
0.34521,1650,21.835
0.34521,1660,18.938
0.34521,1670,16.398
0.34521,1680,14.178
0.34521,1690,12.244
0.34521,1700,10.562
0.34521,1710,9.1027
0.34521,1720,7.839
0.34521,1730,6.7463
0.34521,1740,5.8028
0.34521,1750,4.989
0.59726,1550,101.29
0.59726,1560,94.402
0.59726,1570,87.77
0.59726,1580,81.4
0.59726,1590,75.298
0.59726,1600,69.468
0.59726,1610,63.917
0.59726,1620,58.646
0.59726,1630,53.657
0.59726,1640,48.949
0.59726,1650,44.522
0.59726,1660,40.373
0.59726,1670,36.497
0.59726,1680,32.889
0.59726,1690,29.543
0.59726,1700,26.451
0.59726,1710,23.604
0.59726,1720,20.992
0.59726,1730,18.605
0.59726,1740,16.433
0.59726,1750,14.463
